-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,Lavender gray,Pale aqua,Gainsboro,Pastel gray,Candy pink,Copper rose,Pale chestnut,Pale chestnut,Timberwolf,Dark gray,Pale chestnut,Old rose,Timberwolf,Pale chestnut,Pale pink,Tea rose (rose),Ruddy pink,Pale chestnut,Ruddy pink,Old lavender,Ruddy pink,Tea rose (rose),Light coral,Turkish rose,Ash grey,Platinum,Ruddy pink,Ruddy pink,Pale silver,Light gray,Grullo,Turkish rose,Pastel blue,Gray (X11 gray)
1,Silver,Light gray,Platinum,Misty rose,Light carmine pink,Fuzzy Wuzzy,Ruddy pink,Tea rose (rose),Candy pink,Pale silver,Pale silver,Cinereous,Ash grey,Dark gray,Tea rose (rose),Misty rose,Turkish rose,Pale chestnut,Puce,Tea rose (rose),Gray (X11 gray),Pale chestnut,Dark gray,Pastel blue,Pastel gray,Platinum,Ash grey,Light coral,Gray (X11 gray),Lavender gray,Rose quartz,Turkish rose,Pastel blue,Tea rose (rose)
2,Tea rose (rose),Bubble gum,Lavender gray,AuroMetalSaurus,Electric blue,Pastel blue,Ruddy pink,Pale chestnut,Pale chestnut,Dark gray,Pale silver,Light gray,Pale chestnut,Tea rose (rose),Pale chestnut,Pale pink,Bazaar,Rosy brown,Old rose,Pastel gray,Misty rose,Pastel gray,Pale chestnut,Lavender gray,Puce,Platinum,Light coral,Light salmon pink,Pale silver,Gray (X11 gray),Pastel gray,Turkish rose,Pastel blue,Pale silver
3,Tea rose (rose),Linen,Ruddy pink,Tea rose (orange),Light coral,Light slate gray,Ruddy pink,Ruddy pink,Candy pink,Pale chestnut,Pale silver,White smoke,Mauvelous,Misty rose,Khaki (HTML/CSS) (Khaki),Almond,Old lavender,Grullo,Old rose,Tea rose (rose),Ruddy pink,Light gray,Old rose,Silver,Pastel blue,Platinum,Light coral,Mauvelous,Gray (X11 gray),Ash grey,Dark gray,Gainsboro,Pastel blue,Puce
4,Light gray,Pale pink,Pale silver,Munsell,Candy pink,Ash grey,Pale chestnut,Pale chestnut,Khaki (HTML/CSS) (Khaki),Taupe gray,Pale silver,Pale chestnut,Ruddy pink,Pale pink,Rose quartz,Pale silver,Light coral,Old rose,Old rose,Pale silver,Misty rose,Pale silver,Lavender gray,Cinereous,Pastel blue,Platinum,Ruddy pink,Light salmon pink,Ash grey,Pale silver,Pastel blue,Gainsboro,Pastel blue,Silver
5,Pastel blue,Almond,Cadet grey,AuroMetalSaurus,Pastel blue,Rose gold,Timberwolf,Platinum,Rosy brown,Taupe gray,Pale silver,Silver,Lavender gray,Tea rose (rose),Melon,Pale silver,Pastel purple,Khaki (HTML/CSS) (Khaki),Dark terra cotta,Pale silver,Tea rose (rose),Pale silver,Cinereous,Rosy brown,Pastel blue,Platinum,Light coral,Light coral,Ash grey,Pastel gray,Pastel blue,Platinum,Pastel purple,Cadet grey
6,Pastel blue,Timberwolf,Pale chestnut,Tea rose (rose),Pastel blue,Light slate gray,Pale silver,Light gray,Rosy brown,Gainsboro,Pale silver,Timberwolf,Ash grey,Pale silver,Misty rose,Ruddy pink,Pale chestnut,Rosy brown,Cinereous,Pale silver,Almond,Pale silver,Pearl Aqua,Dark gray,Pastel blue,Platinum,Light coral,Pale chestnut,Rosy brown,Rosy brown,Pastel blue,Gainsboro,Tea rose (rose),Ash grey
7,Pastel blue,Pastel gray,Pale chestnut,AuroMetalSaurus,Light gray,Cadet grey,Grullo,Ruddy pink,Rosy brown,Ash grey,Rosy brown,Pale chestnut,Ash grey,Pale silver,Almond,Rosy brown,Rosy brown,Rosy brown,Old rose,Tea rose (rose),Gainsboro,Light gray,Candy pink,Pastel blue,Pastel blue,Platinum,Ruddy pink,Pale chestnut,Rosy brown,Dark gray,Pastel blue,Gainsboro,Cambridge Blue,Tea rose (rose)
8,Pastel blue,Light coral,Battleship grey,Misty rose,Pastel blue,Moonstone blue,Tea rose (rose),Mauvelous,Rosy brown,Rosy brown,Candy pink,Timberwolf,Pastel gray,Tea rose (rose),Tea rose (rose),Light gray,Grullo,Cinereous,Copper rose,Tea rose (rose),Pale blue,Light gray,Rose quartz,Pastel blue,Pastel blue,Platinum,Light coral,Light coral,Rosy brown,Pastel blue,Pastel blue,Gainsboro,Puce,Pale chestnut
9,Pastel blue,Lavender gray,Rosy brown,White smoke,Pastel blue,Cadet grey,Pale chestnut,Isabelline,Cadet grey,Platinum,Cambridge Blue,White smoke,Almond,Pastel gray,Pale chestnut,Cambridge Blue,Taupe gray,Cinereous,Rose taupe,Pale pink,Dark gray,Timberwolf,Ruddy pink,Pastel blue,Melon,Platinum,Light coral,Mauvelous,Ruddy pink,Pale aqua,Pastel blue,Turkish rose,Dark gray,Pastel gray
10,Pastel blue,Lavender gray,Platinum,White smoke,Pastel blue,Pale aqua,Pale silver,Almond,Cadet grey,Light gray,Pale robin egg blue,Platinum,Timberwolf,Pastel pink,Ash grey,Pastel blue,Indian red,Ruddy pink,Wenge,Almond,Melon,AuroMetalSaurus,Pale chestnut,Gray (X11 gray),Light gray,Platinum,Light salmon pink,Ruddy pink,Pastel purple,Silver,Tea rose (rose),Ruddy pink,Pale chestnut,Ruddy pink
11,Pastel blue,Lavender gray,Dim gray,Pale pink,Candy pink,Taupe gray,Pale chestnut,Timberwolf,Pale pink,Almond,Pale robin egg blue,Dark gray,Light blue,Linen,Tea rose (rose),Pastel blue,Cinereous,Pastel gray,Rosy brown,Tea rose (rose),Platinum,Pastel blue,Timberwolf,Pastel blue,Platinum,Platinum,Light coral,Light coral,Pale chestnut,Manatee,Silver,Electric blue,Mauvelous,Dark gray
12,Pastel blue,Lavender gray,Gainsboro,Mauvelous,Pastel blue,Rose quartz,Ruddy pink,Timberwolf,Pastel gray,Tea rose (rose),Pearl Aqua,Ash grey,Light gray,Piggy pink,Misty rose,Light blue,Puce,Pale silver,Ruddy pink,Pale silver,Tea rose (rose),Old lavender,Pastel gray,Misty rose,Platinum,Platinum,Ruddy pink,Light coral,Rosy brown,Cadet grey,Gray (X11 gray),Timberwolf,Pale silver,Old rose
13,Pastel blue,Lavender gray,Platinum,Pastel gray,Tea rose (orange),Khaki (HTML/CSS) (Khaki),Pastel gray,Rosy brown,Timberwolf,Dark gray,Pearl Aqua,Gainsboro,Pale silver,Almond,Pale pink,Ruddy pink,Copper rose,Pale chestnut,Light gray,Pale silver,Pale pink,Grullo,Dark gray,Bubble gum,Gainsboro,Platinum,Light salmon pink,Mauvelous,Rosy brown,Dark gray,Khaki (HTML/CSS) (Khaki),Pastel blue,Ruddy pink,Rose gold
14,Taupe gray,Lavender gray,Light salmon pink,Platinum,Pastel blue,Pale chestnut,Platinum,Pale chestnut,Pale silver,Almond,Moonstone blue,Khaki (HTML/CSS) (Khaki),Ruddy pink,Timberwolf,Timberwolf,Misty rose,Pastel brown,Pastel purple,Pale chestnut,Ruddy pink,Gainsboro,Rose quartz,Timberwolf,Pale chestnut,Isabelline,Platinum,Light salmon pink,Ruddy pink,Grullo,Dark gray,Ruddy pink,Tea rose (orange),Pale chestnut,Old rose
15,Pastel gray,Light gray,Pale pink,Light gray,Electric blue,Melon,Pale chestnut,Pastel gray,Platinum,Tea rose (rose),Light gray,Cadet grey,Pastel gray,Pastel gray,Pastel gray,Pastel gray,Wenge,Rose quartz,Silver,Pastel purple,Powder blue (web),Dark gray,Gray (X11 gray),Silver,Pastel gray,Platinum,Light coral,Puce,Melon,Dark gray,Misty rose,Platinum,Puce,Rose gold
16,Pastel blue,Lavender gray,Tea rose (rose),Pastel blue,Light coral,Pale chestnut,Tea rose (rose),Platinum,Pastel gray,Gray (X11 gray),Dark gray,Pale silver,Ruddy pink,Bubble gum,Pale silver,Timberwolf,Fuzzy Wuzzy,Light coral,Pastel gray,Pale chestnut,Isabelline,Platinum,Pale chestnut,Pastel gray,Gainsboro,Platinum,Light salmon pink,Ruddy pink,Pale pink,Khaki (HTML/CSS) (Khaki),Pale chestnut,Electric blue,Pale chestnut,Rose gold
17,Pastel blue,Lavender gray,Pale chestnut,Timberwolf,AuroMetalSaurus,Pastel purple,Light coral,Pale silver,Cinereous,Pale blue,Ash grey,Platinum,Ash grey,Linen,Mauvelous,Khaki (HTML/CSS) (Khaki),Puce,Tea rose (rose),Gray (X11 gray),Rosy brown,Tea rose (rose),Almond,Tea rose (rose),Silver,Platinum,Platinum,Light coral,Ruddy pink,Almond,Dark gray,Mauvelous,Platinum,Ruddy pink,Rose taupe
18,Pastel blue,Lavender gray,Rosy brown,Baby blue,Candy pink,Rose quartz,Mauvelous,Pale silver,Light gray,Old rose,Pale silver,Isabelline,Powder blue (web),Piggy pink,Pale pink,Pale chestnut,Rosy brown,Pale chestnut,Ash grey,Grullo,Ash grey,Light gray,Gainsboro,Gray (X11 gray),Dark gray,Platinum,Light salmon pink,Ruddy pink,Tea rose (rose),Pastel blue,Platinum,Platinum,Light gray,Indian red
19,Pastel blue,Lavender gray,Grullo,Pastel blue,Pale robin egg blue,Pastel pink,Tea rose (rose),Light coral,Munsell,Platinum,Gray (X11 gray),Timberwolf,Rosy brown,Almond,Tea rose (rose),Dark gray,Ruddy pink,Pale chestnut,Dark gray,Taupe gray,Platinum,Lavender gray,Gainsboro,Lavender gray,Lavender gray,Platinum,Light coral,Ruddy pink,Pale chestnut,Platinum,Electric blue,Platinum,Pastel gray,Fuzzy Wuzzy
20,Old rose,Lavender gray,Melon,Pastel blue,Candy pink,Dark gray,Pale chestnut,Timberwolf,Cadet grey,Rose gold,Gray (X11 gray),Pale silver,Pale chestnut,Timberwolf,Pale chestnut,Gainsboro,Cinereous,Rosy brown,Gray (X11 gray),Ruddy pink,Tea rose (rose),Platinum,Rosy brown,Platinum,Gray (X11 gray),Platinum,Light salmon pink,Mauvelous,Dark gray,Ash grey,Pastel blue,Platinum,Pale silver,Indian red
21,Pastel gray,Dark gray,Misty rose,Pastel blue,Light coral,Bubble gum,Old rose,Rosy brown,Old rose,Lavender gray,Ash grey,Platinum,Pale silver,Pastel gray,Pale chestnut,Pale chestnut,Dark gray,Grullo,Ash grey,Grullo,Light cyan,Isabelline,Platinum,Platinum,Tea rose (rose),Platinum,Mauvelous,Ruddy pink,Mauvelous,Gray (X11 gray),Turkish rose,Platinum,Pale chestnut,Indian red
22,Non-photo blue,Manatee,Pale pink,Pastel blue,Tea rose (orange),Bubble gum,Rosy brown,Gainsboro,Rose quartz,Timberwolf,Pearl Aqua,Timberwolf,Timberwolf,Pastel pink,Dark gray,Platinum,Dark gray,Candy pink,Ash grey,Pale chestnut,Light cyan,Pale chestnut,Platinum,Pale silver,Trolley Grey,Platinum,Light salmon pink,Ruddy pink,Pastel purple,Rosy brown,Electric blue,Platinum,Tea rose (rose),Ruddy pink
23,Pastel gray,Melon,Tea rose (rose),Pastel blue,Tea rose (orange),Light salmon pink,Pale chestnut,Rose quartz,Pastel blue,Timberwolf,Dark gray,Tea rose (rose),Cool grey,Linen,Mauvelous,Timberwolf,Taupe gray,Pale silver,Silver,Rosy brown,Platinum,Pastel purple,Platinum,Pale chestnut,Dark gray,Ash grey,Light salmon pink,Mauvelous,Pale chestnut,Silver,Turkish rose,Platinum,Pale silver,Light coral
24,White smoke,Tea rose (rose),Pale silver,Davy's grey,Tea rose (orange),Light coral,Ruddy pink,Platinum,Pastel blue,Gainsboro,Ash grey,Pale pink,Pale chestnut,Piggy pink,Pale pink,Pale pink,Taupe gray,Pale silver,Light coral,Cinereous,Pale chestnut,Silver,Pale robin egg blue,Almond,Light coral,Light gray,Light coral,Dark gray,Khaki (HTML/CSS) (Khaki),Ash grey,Light gray,Platinum,Pale aqua,Jasper
25,Pastel blue,Tea rose (rose),Pale silver,Platinum,Pale chestnut,Bubble gum,Rosy brown,Pale silver,Silver,Gainsboro,Dark gray,Grullo,Khaki (HTML/CSS) (Khaki),Almond,Tea rose (rose),Pale aqua,AuroMetalSaurus,Pastel purple,Grullo,Taupe gray,Melon,Platinum,Pale robin egg blue,Tea rose (rose),Electric blue,Pearl Aqua,Light salmon pink,Pale chestnut,Rose quartz,Pale chestnut,Rose gold,Electric blue,Pale silver,Jasper
26,Pastel blue,Dark gray,Melon,Pale pink,Tea rose (orange),Cadet grey,Ruddy pink,Tea rose (rose),Platinum,Timberwolf,Puce,Light gray,Rosy brown,Timberwolf,Pale chestnut,Cambridge Blue,Old rose,Rose quartz,Puce,Light gray,Misty rose,Platinum,Ash grey,Almond,Melon,Pale robin egg blue,Light coral,Rosy brown,Rose quartz,Rosy brown,Pale silver,Electric blue,Pale silver,Carmine pink
27,Gainsboro,Electric blue,Misty rose,Melon,Tea rose (rose),Old rose,Puce,Timberwolf,Pastel gray,Light gray,Ash grey,Rosy brown,Gray (X11 gray),Pastel gray,Pale chestnut,Candy pink,Ruddy pink,Rose quartz,Rosy brown,Platinum,Almond,Light gray,Ash grey,Pale chestnut,Pale blue,Pastel gray,Ruddy pink,Rose quartz,Light salmon pink,Pale chestnut,Pale silver,Electric blue,Platinum,Jasper
28,Davy's grey,Gainsboro,Pale pink,Platinum,Ruddy pink,Platinum,Tea rose (rose),Munsell,Manatee,Light gray,Gray (X11 gray),Gainsboro,Pale silver,Pastel pink,Dark gray,Pastel purple,Grullo,Ruddy pink,Cinereous,Ruddy pink,Tea rose (rose),Pastel gray,Ruddy pink,Pale chestnut,Misty rose,Ruddy pink,Light coral,Rose quartz,Dark gray,Pearl Aqua,Pale silver,Electric blue,Gainsboro,Carmine pink
29,Platinum,Mauvelous,Tea rose (rose),Pastel pink,Pale blue,Pale silver,Pale chestnut,Tea rose (rose),Pastel blue,Cambridge Blue,Ruddy pink,Pale silver,Almond,Linen,Mauvelous,Pale chestnut,Khaki (HTML/CSS) (Khaki),Timberwolf,Battleship grey,Tea rose (rose),Pale chestnut,Tea rose (rose),Almond,Platinum,Bubbles,Light salmon pink,Ruddy pink,Mauvelous,Pale chestnut,Pearl Aqua,Silver,Pastel blue,Cadet grey,Light coral
30,Manatee,Misty rose,Tea rose (rose),Ruddy pink,Pale aqua,Rosy brown,Timberwolf,Pale chestnut,Light gray,Cambridge Blue,Gray (X11 gray),Light gray,Timberwolf,Misty rose,Pale pink,Rosy brown,Grullo,Tea rose (rose),Raspberry glace,Almond,Ash grey,Pale pink,Pastel gray,Gainsboro,Misty rose,Mauvelous,Ruddy pink,Pale chestnut,Rosy brown,Old rose,Silver,Pastel blue,Pale silver,Light carmine pink
31,Melon,Platinum,Pale silver,Ruddy pink,Pale pink,Pastel gray,Old rose,Pale chestnut,Puce,Cambridge Blue,Pastel purple,Pale chestnut,Melon,Pale pink,Tea rose (rose),Cinereous,Cinereous,Pale chestnut,Battleship grey,Gainsboro,Isabelline,Isabelline,Gray (X11 gray),Ash grey,Misty rose,Ruddy pink,Light salmon pink,Pale chestnut,Grullo,Cool grey,Gray (X11 gray),Pastel blue,Pale silver,White
32,Munsell,Taupe gray,Tea rose (rose),Tea rose (rose),Cadet blue,Dark gray,Pastel gray,Isabelline,Grullo,Cadet grey,Pastel pink,Khaki (HTML/CSS) (Khaki),Misty rose,Timberwolf,Pale chestnut,Trolley Grey,Battleship grey,Rosy brown,Gray (HTML/CSS gray),Light cyan,Platinum,Gainsboro,Ash grey,Ash grey,Pastel blue,Ruddy pink,Light coral,Khaki (HTML/CSS) (Khaki),Taupe gray,Pale chestnut,Turkish rose,Pastel blue,Pale silver,White
33,Old rose,Dark gray,Light gray,Light gray,Rose quartz,Pale silver,Gainsboro,Tea rose (rose),Tea rose (rose),Cadet grey,Tea rose (rose),Pale aqua,Almond,Pastel gray,Khaki (HTML/CSS) (Khaki),Light carmine pink,Light coral,Rose quartz,Gray (HTML/CSS gray),Light carmine pink,Munsell,Gainsboro,Tea rose (orange),Gray (X11 gray),Pastel blue,Ruddy pink,Pale chestnut,Rosy brown,Pale silver,Pastel blue,Old rose,Pastel blue,Pale chestnut,White
34,Taupe gray,Pastel gray,Pastel gray,Light carmine pink,Candy pink,Tea rose (rose),Timberwolf,Ruddy pink,Pale silver,Cadet grey,Ruddy pink,Pale silver,Tea rose (rose),Light salmon pink,Rose quartz,Grullo,Tea rose (rose),Candy pink,Old lavender,Pale silver,Pale pink,Platinum,Light coral,Gray (X11 gray),Platinum,Ruddy pink,Light coral,Rose quartz,Gainsboro,Manatee,Old rose,Pastel blue,Dark gray,White
